character,내DB,사이트
乳,乚(숨을 은) + 孚(미쁠 부),爫(손톱(손) 조) 子(아들(아이)) 자(모양)
令,亼(모일 집) + 龴(-),人(사람 인  ㅡ: 모) 양(卩(무릎 굽힐 절)의 이형)
侯,亻(사람인변 인) + 矢(화살 시) + 𠃍(-) + 一(한 일),亻(사람) 인(모양) 矢(화살 시)
修,丨(뚫을 곤) + 俢(닦을 수),攸(바(멀) 유) 彡(川(내 천)의 이형)
候,侯(제후 후) + 丨(뚫을 곤),亻(사람 인  ㅣ: 모) 양(모양) 矢(화살 시)
側,亻(사람인변 인) + 則(법칙 칙),亻(사람 인) 貝(조개(돈) 패) 刂(칼 도)
傲,亻(사람인변 인) + 敖(거만할 오),亻(사람 인) 土(흙(땅) 토) 放(놓을(방출할) 방)
儒,亻(사람인변 인) + 需(쓰일 수),亻(사람 인) 雨(비 우) 而(말 이을(우두머리) 이)
充,亠(돼지해머리 두) + 允(맏 윤),儿(사람 인)
先,丿(삐침 별) + 圥(버섯 록(녹)),급(牛(소 우)의 이형) 儿(사람 인)
共,龷(-) + 八(여덟 팔),廾(양손) 공(廾(양손 공)의 이형)
兵,八(여덟 팔) + 丘(언덕 구),斤(근(도끼)) 근(廾(양손 공)의 이형)
具,八(여덟 팔) + 目(눈 목) + 一(한 일),目(모양) 廾(양손 공)
再,一(한 일) + 冉(나아갈 염),一(한) 일(쌓을 구)
冒,冃(쓰개 모) + 目(눈 목),目(눈 목)
冠,冖(덮을 멱) + 㝴(둥글게 깎을 완),冖(덮을 멱) 元(모양) 寸(마디(손) 촌)
冥,冖(덮을 멱) + 昗(기울 측),冖(덮을 멱) 日(날(해) 일) 六(여섯 륙)
冬,夂(뒤쳐져 올 치) + ⺀(얼음 빙),夂(천천히 걸을(발) 쇠) 冫(얼음 빙)
凶,凵(입 벌릴 감) + 㐅(다섯 오),凵(모양)
刃,刀(칼 도) + 丿(삐침 별),刀(칼) 도(모양)
別,刂(선칼도방 도) + 另(헤어질 령(영)),양(力(힘 력)의 이형) 刂(칼 도)
制,刂(선칼도방 도) + 丿(삐침 별) + 巾(수건 건) + 二(두 이),巾(수건(천) 건) 刂(칼 도)
刷,𡰯(돼지 시) + 刂(선칼도방 도),尸(주검(몸) 시) 巾(수건(천) 건) 刂(칼 도)
券,龹(밥 뭉칠 권) + 刀(칼 도),급(말 권) 刀(칼 도)
前,䒑(초두머리 초) + 刖(벨 월),䒑(首의 이형) 月(고기(몸) 육) 刂(칼 도)
加,力(힘 력(역)) + 口(입 구),力(힘 력  ㅁ: 모양)
勝,月(달 월) + 劵(게으를 권),月(고기(몸)) 육(말 권) 力(힘 력)
卓,卜(점 복) + 早(이를 조),급(匕의 이형) 早(이를 조)
占,卜(점 복) + 口(입 구),卜(점 복  ㅁ: 입(말) 구)
危,㔾(병부 절) + 厃(우러러볼 첨),厄(액 액)
厚,厂(기슭 엄) + 㫗(두터울 후),厂(기슭(벼랑) 엄) 曰(가로(말할) 왈) 子(아들(아이) 자)
及,丿(삐침 별) + 乛(구결자 야) + 又(또 우),又(또(손) 우)
古,口(입 구) + 十(열 십),十(열(여러) 십  ㅁ: 입 구)
句,口(입 구) + 勹(쌀 포),勹(쌀 포  ㅁ: 입(말) 구)
召,口(입 구) + 刀(칼 도),刀(칼 도  ㅁ: 입(말) 구)
可,𠮛(뜻 지) + 亅(갈고리 궐),丁(丂(숨 고)의 이형)
吉,口(입 구) + 士(선비 사),士(선비 사  ㅁ: 입(말) 구)
向,丿(삐침 별) + 冋(들 경),宀(집 면  ㅁ: 모양)
君,口(입 구) + 尹(성씨 윤),尹(다스릴 윤  ㅁ: 입(말) 구)
否,口(입 구) + 不(아닐 부),不(아닐 불  ㅁ: 입(말) 구)
吸,口(입 구) + 及(미칠 급),及(미칠(이를) 급)
吾,五(다섯 오) + 口(입 구),五(다섯 오  ㅁ: 입(말) 구)
呈,口(입 구) + 壬(북방 임),壬(북방(짊어질) 임)
味,口(입 구) + 未(아닐 미),未(아닐 미)
呼,口(입 구) + 乎(어조사 호),乎(어조사(입김) 호)
命,亼(모일 집) + 叩(두드릴 고),令(하여금(명령) 령  ㅁ: 입 구)
員,口(입 구) + 貝(조개 패),貝(조개(재물) 패)
哲,口(입 구) + 折(꺾을 절),折(꺾을(부러질) 절  ㅁ: 입(말) 구)
啓,𢼄(열 계) + 口(입 구),戶(집 호) 攵(칠(때릴) 복) 口(입(말) 구)
善,口(입 구) + 羊(양 양) + 䒑(초두머리 초),羊(양 양) 䒑(풀 초 ㅁ: 입 구)
喜,口(입 구) + 壴(악기 이름 주),壴(북 주  ㅁ: 입 구)
器,㗊(뭇입 즙) + 犬(개 견),犬(개 견)
園,囗(나라 국) + 袁(성씨 원),口(모양) 袁(길 원)
在,𠂇(왼 좌) + 丨(뚫을 곤) + 土(흙 토),급(才(재주 재)의 이형) 土(흙(땅) 토)
均,土(흙 토) + 匀(고를 균),土(흙 토) 勻(고를 균)
垂,壬(북방 임) + 工(장인 공) + 丨(뚫을 곤),卉(풀/많을 훼) 土(흙(땅) 토)
堂,土(흙 토) + 龸(-) + 口(입 구),尙(오히려(높을) 상) 土(흙(땅) 토)
堅,土(흙 토) + 臤(어질 현),급(굳을 간) 土(흙(땅) 토)
塔,土(흙 토) + 荅(좀콩 답),土(흙 토) 艹(풀 초) 合(합할 합)
塗,土(흙 토) + 涂(길 도),氵(물 수) 余(나(집) 여) 土(흙 토)
墨,土(흙 토) + 黒(검을 흑),黑(검을 흑) 土(흙 토)
多,夕(저녁 석) + 夕(저녁 석),夕(저녁(달) 석) 夕(저녁(달) 석)
