character,hun_eum,components_norm,components_detail,comp_status,title,link,content
皀,향기로울 급,,,none,향기로울 급(皀),http://tonghanja.com/%ed%96%a5%ea%b8%b0%eb%a1%9c%ec%9a%b8-%ea%b8%89%e7%9a%80/,皀 .무급 밥( )이 담긴 식기( )에서 나오는 것은? 수북하게 밥 이 담긴 식기 에서 풍겨 나오는 것은 ‘ 향기로움 ’이지요. 향기로울 급 * ‘皀’은 다른 글자에서 ‘밥’이란 뜻으로도 쓰입니다.
皃,얼굴 모,,급(모양),image,얼굴 모(皃),http://tonghanja.com/%ec%96%bc%ea%b5%b4-%eb%aa%a8%e7%9a%83/,皃 .무급 : 모양 : 부분을 나타내는 선 儿 : 사람 인 사람(儿) 머리( )의 앞 부분(—)은? 사람 머리 의 앞면 부분 은 ‘ 얼굴 ’이지요. 얼굴 모
彿,비슷할 불,弗彳,彳(걸을 척) 弗(아닐(떨) 불),ok,비슷할 불(彿),http://tonghanja.com/%eb%b9%84%ec%8a%b7%ed%95%a0-%eb%b6%88%e5%bd%bf/,"彿 .1급 彳: 걸을 척 弗: 아닐(떨) 불 걸어서(彳) 떨어지면(弗)? 길을 걸어서 대상과 멀리 떨어지면 , 뚜렷했던 윤곽은 흐릿해지고 주변의 다른 것들과 ‘ 비슷함 ’이지요. 비슷할 불 방 불 ( 彷 彿: 거의 비슷함 / 흐릿하거나 어렴풋함 )"
沸,끓을 비,弗水,氵(물 수) 弗(아닐(떨) 불),ok,끓을 비(沸),http://tonghanja.com/%eb%81%93%ec%9d%84-%eb%b9%84%e6%b2%b8/,沸 .1급 氵: 물 수 弗: 아닐(떨) 불 물(氵)이 떠는(弗) 것은? 물 이 스스로를 떨어 내는 것은 ‘ 끓음 ’이지요. 끓을 비 비 등 (沸 騰 : 끓어 오름 )
磁,자석 자,玆石,石(돌 석) 玆(이(결합할) 자),ok,자석 자(磁),http://tonghanja.com/%ec%9e%90%ec%84%9d-%ec%9e%90%e7%a3%81/,磁 .2급 石: 돌 석 玆: 이(결합할) 자 돌(石)인데 결합하는(玆) 것은? 돌 인데 자성을 띤 물체와 결합하는 것은 ‘ 자석 ’이지요. 자석 자
滋,불을 자,水玆,氵(물 수) 玆(이(결합할) 자),ok,불을 자(滋),http://tonghanja.com/%eb%b6%88%ec%9d%84-%ec%9e%90-%e6%bb%8b/,滋 .2급 氵: 물 수 玆: 이(결합할) 자 물(氵)이 결합하는(玆) 것은? 물 줄기가 서로 결합하는 것은 물이 ‘ 불음 ’ 이지요. 불을 자
欮,숨찰/팔 궐,屰欠,屰(거꾸로 역) 欠(하품(입 벌린 사람) 흠),ok,숨찰/팔 궐(欮),http://tonghanja.com/%ec%88%a8%ec%b0%b0-%ed%8c%94-%ea%b6%90%e6%ac%ae/,欮 .무급 屰: 거꾸로 역 欠: 하품(입 벌린 사람) 흠 거꾸로(屰) 수그린 채 입 벌린 사람(欠)이 하는 것은? 거꾸로 몸을 수그린 채 입 벌린 사람 이 하는 것은 무엇을 ‘ 숨차게 ’ ‘ 팜 ’이지요. 숨찰/팔 궐
聶,소곤거릴 섭,耳,耳(귀 이) 耳(귀 이) 耳(귀 이),ok,소곤거릴 섭(聶),http://tonghanja.com/%ec%86%8c%ea%b3%a4%ea%b1%b0%eb%a6%b4-%ec%84%ad%e8%81%b6/,聶 .무급 耳: 귀 이 耳: 귀 이 耳: 귀 이 많은 귀(聶)가 모인 것은? 많은 귀 가 가까이 모인 것은 여럿이 작은 목소리로 ‘ 소곤거림 ’이지요. 소곤거릴 섭
尼,여승 니,,,none,여승 니(尼),http://tonghanja.com/%ec%97%ac%ec%8a%b9-%eb%8b%88%e5%b0%bc/,"尼 .2급 사람(尸)과 사람(匕)이 등을 기대는 것은? ‘ 尼 ’는 사람 과 사람 이 등을 기대는 것인 ‘ 붙음 ’을 나타낸 글자였으나, 후에 산스크리트어 ‘비쿠니(bhikkhuni: 여성 출가 수행자)’를 한자로 음역한 ‘비구니(比丘尼)’에 쓰이면서 불교의 여성 수도자인 ‘ 여승 ’을 뜻하게 되었답니다. 여승 니"
它,뱀 사/ 다를 타,,,none,뱀 사/ 다를 타(它),http://tonghanja.com/%eb%b1%80-%ec%82%ac-%eb%8b%a4%eb%a5%bc-%ed%83%80%e5%ae%83/,"它 .특급 혀( )와 머리( )와 몸통 및 꼬리( )는? ‘ 它 ’는 혀 와 머리 와 몸통 및 꼬리 로 된 것인 ‘ 뱀 ’을 본뜬 글자였으나, 후에 뱀은 다른 동물과 생김새와 움직임이 다르다는 데서 ‘ 다름 ’을 뜻하게 되었답니다. 뱀 사 / 다를 타"
回,돌 회,,,none,돌 회(回),http://tonghanja.com/%eb%8f%8c-%ed%9a%8c%e5%9b%9e/,"回 .4급Ⅱ 바퀴(回)가 하는 것은? 바퀴 가 하는 것은 ‘ 돎 ’이지요. 돌 회 회 전 (回 轉 : 돌아서 구름 ) , 회귀(回歸), 회독(回讀) * ‘回’는 ‘돌아올 회’라고도 합니다."
變,변할 변,攵,攵(칠(때릴) 복),ok,변할 변(變),http://tonghanja.com/%eb%b3%80%ed%95%a0-%eb%b3%80%e8%ae%8a/,"變 .5급Ⅱ : 잇달 련 攵: 칠(때릴) 복 잇달아( ) 때리면(攵)? 잇달아 때리면 행동이나 성격이 ‘ 변함 ’이지요. 변할 변 변 함 (變 함 : 무엇이 다른 것이 되거나 또는 다른 성질로 달라짐 ) , 변화(變化), 변천(變遷)"
戀,그리워할 련,心,心(마음 심),ok,그리워할 련(戀),http://tonghanja.com/%ea%b7%b8%eb%a6%ac%ec%9b%8c%ed%95%a0-%eb%a0%a8%e6%88%80/,"戀 .3급Ⅱ : 잇달 련 心: 마음 심 잇달아( ) 마음(心)에 떠오르는 것은? 잇달아 마음 에 떠오르는 것은 상대를 ‘ 그리워함 ’이지요. 그리워할 련 연 모 (戀 慕 : 그리워함) , 연애(戀愛), 연인(戀人)"
懲,징계할 징,徵心,徵(부를 징) 心(마음 심),ok,징계할 징(懲),http://tonghanja.com/%ec%a7%95%ea%b3%84%ed%95%a0-%ec%a7%95%e6%87%b2/,"懲 .3급 徵: 부를 징 心: 마음 심 불러서(徵) 마음(心)을 잡게 하는 것은? 불러서 마음 을 잡게 하는 것은 ‘ 징계함 ’이지요. 징계할 징 징 계 (懲 戒 : 잘못을 나무라고 경계함 ) , 징벌(懲罰), 징역(懲役)"
